fandom_kill_id,canon,season_number,episode_number,episode_title,victim_name,method_raw,location_raw,disposal_raw,prior_crimes_text,code_of_harry_flag,season_arc_text,wiki_url
k001,original,1,1,Dexter,Mike Donovan,Knife to chest,Kill room,Open water,Pedophile choir director; killed three boys,true,Pilot kill,https://dexter.fandom.com/wiki/Mike_Donovan
k002,original,1,2,Crocodile,Jamie Jaworski,Knife to chest,Kill room,Open water,Rape and murder; produced violent rape videos,true,Ice Truck Killer arc,https://dexter.fandom.com/wiki/Jamie_Jaworski
k003,original,1,3,Popping Cherry,Matt Chambers,Knife to chest,Kill room,Open water,Serial drunk driver; multiple aliases; killed four people across states,true,Ice Truck Killer arc,https://dexter.fandom.com/wiki/Matt_Chambers
k004,original,1,4,Let's Give the Boy a Hand,Jorge Castillo,Knife to chest,Warehouse kill room,Open water,Human trafficker; murdered Cuban refugees,true,Ice Truck Killer arc,https://dexter.fandom.com/wiki/Jorge_Castillo
k005,original,1,4,Let's Give the Boy a Hand,Valerie Castillo,Knife to chest,Warehouse kill room,Open water,Human trafficker; accomplice in refugee murders,true,Ice Truck Killer arc,https://dexter.fandom.com/wiki/Valerie_Castillo
k006,original,1,5,Love American Style,Jeremy Downs,Knife to chest,Kill room,Open water,Serial killer; killed multiple boys including his own attacker,true,Ice Truck Killer arc,https://dexter.fandom.com/wiki/Jeremy_Downs
k007,original,1,12,Born Free,Brian Moser,Knife to throat,Kill room,Staged crime scene,Ice Truck Killer; serial killer; Dexter's biological brother,false,Ice Truck Killer arc (finale),https://dexter.fandom.com/wiki/Brian_Moser
k008,original,2,1,It's Alive!,Little Chino,Knife to chest,Warehouse kill room,Open water,Gang enforcer; multiple murders for the 29th Street Kings,true,Bay Harbor Butcher arc,https://dexter.fandom.com/wiki/Little_Chino
k009,original,2,3,An Inconvenient Lie,Roger Hicks,Knife to chest,Kill room,Open water,Serial killer; murdered three brides on their honeymoons,true,Bay Harbor Butcher arc,https://dexter.fandom.com/wiki/Roger_Hicks
k010,original,2,5,The Dark Defender,Jimenez,Knife to chest,Kill room,Open water,Cuban torturer; murdered Camilla's husband and others,true,Bay Harbor Butcher arc,https://dexter.fandom.com/wiki/Jimenez
k011,original,2,12,The British Invasion,Lila West,Knife to chest,Apartment in Paris,Left at scene,Arsonist; murdered Sergeant Doakes; kidnapped Astor and Cody,true,Bay Harbor Butcher arc (finale); not a code-compliant target initially - personal vendetta,https://dexter.fandom.com/wiki/Lila_West
k012,original,3,1,Our Father,Oscar Prado,Self-defense stab,Drug house,Left at scene,Drug dealer; pulled knife on Dexter,false,Miguel Prado arc; accidental and not code-vetted,https://dexter.fandom.com/wiki/Oscar_Prado
k013,original,3,2,Finding Freebo,Freebo,Knife to chest,Apartment,Open water,Drug dealer; murdered two college girls,true,Miguel Prado arc,https://dexter.fandom.com/wiki/Freebo
k014,original,3,4,All in the Family,Ethan Turner,Knife to chest,Cruise ship cabin,Open water,Black widower; murdered three wives for inheritance,true,Miguel Prado arc,https://dexter.fandom.com/wiki/Ethan_Turner
k015,original,3,5,Turning Biminese,Clemson Galt,Knife to chest,Kill room,Open water,Aryan Brotherhood enforcer; multiple murders,true,Miguel Prado arc,https://dexter.fandom.com/wiki/Clemson_Galt
k016,original,3,7,Easy as Pie,Nathan Marten,Knife to chest,Kill room,Open water,Pedophile photographer; targeted Astor,true,Miguel Prado arc,https://dexter.fandom.com/wiki/Nathan_Marten
k017,original,3,9,About Last Night,Billy Fleeter,Knife to chest,Kill room,Open water,Bookie and hitman; murdered debtors,true,Miguel Prado arc,https://dexter.fandom.com/wiki/Billy_Fleeter
k018,original,3,11,I Had a Dream,Miguel Prado,Strangulation with garrote wire,Hotel room,Open water,Corrupt ADA; murdered Ellen Wolf; ordered hits,true,Miguel Prado arc (finale lead-up),https://dexter.fandom.com/wiki/Miguel_Prado
k019,original,3,12,Do You Take Dexter Morgan?,George King,Knife to chest,Police station vehicle,Left at scene,The Skinner; Nicaraguan secret police torturer; multiple murders,true,Miguel Prado arc (Skinner finale),https://dexter.fandom.com/wiki/George_King
k020,original,4,1,Living the Dream,Benny Gomez,Strangulation with garrote,Boxing gym,Open water,Retired boxer; beat two opponents to death in the ring,true,Trinity arc,https://dexter.fandom.com/wiki/Benny_Gomez
k021,original,4,3,Blinded by the Light,Zoey Kruger,Knife to chest,Suburban home,Open water,Corrupt cop; murdered her husband and child,true,Trinity arc,https://dexter.fandom.com/wiki/Zoey_Kruger
k022,original,4,5,Dirty Harry,Jonathan Farrow,Knife to chest,Photography studio,Open water,Celebrity photographer; framed as serial rapist; actually innocent,false,Trinity arc; innocent victim - major code violation,https://dexter.fandom.com/wiki/Jonathan_Farrow
k023,original,4,8,Road Kill,Stan Beaudry,Knife to chest,Truck cabin,Open water,Trucker; murdered prostitutes; framed as Trinity decoy,true,Trinity arc,https://dexter.fandom.com/wiki/Stan_Beaudry
k024,original,4,12,The Getaway,Arthur Mitchell,Blunt force with hammer,Trinity's kill room,Wrapped in plastic,Trinity Killer; over thirty murders across multiple states over thirty years,true,Trinity arc (finale),https://dexter.fandom.com/wiki/Arthur_Mitchell
k025,original,5,1,My Bad,Boyd Fowler,Knife to chest,Kill room,Barrel,Septic worker; murdered four women - the Barrel Girls,true,Barrel Girls arc,https://dexter.fandom.com/wiki/Boyd_Fowler
k026,original,5,4,Beauty and the Beast,Lance Robinson,Knife to chest,Online dating victim's home,Open water,Predator; targeted women through dating sites with violent intent,true,Barrel Girls arc; close call - victim count uncertain,https://dexter.fandom.com/wiki/Lance_Robinson
k027,original,5,9,Teenage Wasteland,Cole Harmon,Strangulation with garrote,Kill room,Open water,Bodyguard and Barrel Girls accomplice; participated in rape and torture,true,Barrel Girls arc,https://dexter.fandom.com/wiki/Cole_Harmon
k028,original,5,10,In the Beginning,Dan Mendell,Knife to chest,Kill room,Open water,Barrel Girls rapist; participated in five known rapes,true,Barrel Girls arc,https://dexter.fandom.com/wiki/Dan_Mendell
k029,original,5,11,Hop a Freighter,Alex Tilden,Knife to chest,Kill room,Open water,Barrel Girls rapist; participated in multiple torture-rapes,true,Barrel Girls arc,https://dexter.fandom.com/wiki/Alex_Tilden
k030,original,5,12,The Big One,Jordan Chase,Knife to chest,Kill room,Open water,Self-help guru; mastermind of the Barrel Girls rape-murders,true,Barrel Girls arc (finale),https://dexter.fandom.com/wiki/Jordan_Chase
k031,original,6,1,Those Kinds of Things,Julio Benes,Knife to chest,Boat cabin,Open water,Gunrunner; murdered competitors and witnesses,true,Doomsday arc,https://dexter.fandom.com/wiki/Julio_Benes
k032,original,6,2,Once Upon a Time...,Walter Kenney,Knife to chest,Retirement community apartment,Open water,The Tooth Fairy; retired serial killer; murdered nine women decades earlier,true,Doomsday arc,https://dexter.fandom.com/wiki/Walter_Kenney
k033,original,6,12,This is the Way the World Ends,Travis Marshall,Knife to chest,Abandoned church,Open water,Doomsday Killer; tableau murderer; killed multiple including Brother Sam,true,Doomsday arc (finale),https://dexter.fandom.com/wiki/Travis_Marshall
k034,original,7,1,Are You...?,Viktor Baskov,Strangulation,Airport storage room,Incinerated at airport,Koshka Brotherhood enforcer; murdered Mike Anderson; multiple killings for Sirko,true,Hannah / Sirko arc,https://dexter.fandom.com/wiki/Viktor_Baskov
k035,original,7,3,Buck the System,Wayne Randall,Knife,Highway,Left at scene,Spree killer; murdered three during a 1995 multi-state spree,false,Hannah arc; actually died by jumping in front of truck - Dexter did not kill him,https://dexter.fandom.com/wiki/Wayne_Randall
k036,original,7,6,Do the Wrong Thing,Ray Speltzer,Knife to chest,Speltzer's maze,Open water,Sledgehammer killer; murdered at least three women in his maze,true,Hannah / Sirko arc,https://dexter.fandom.com/wiki/Ray_Speltzer
k037,original,7,12,Surprise Motherfucker,Hector Estrada,Knife to chest,Shipping container,Open water,Drug lord; ordered the murder of Dexter's mother Laura Moser,true,Hannah arc (finale lead-up),https://dexter.fandom.com/wiki/Hector_Estrada
k038,original,8,2,Every Silver Lining...,Andrew Briggs,Knife to chest,Kill room,Open water,Fence and killer; murdered competitors during heists,true,Brain Surgeon arc,https://dexter.fandom.com/wiki/Andrew_Briggs
k039,original,8,10,Goodbye Miami,A.J. Yates,Knife to chest,Yates' basement,Open water,Serial killer; murdered six women; kept toenails as trophies,true,Brain Surgeon arc,https://dexter.fandom.com/wiki/Albert_Jose_Yates
k040,original,8,12,Remember the Monsters?,Oliver Saxon,Strangulation,Police interrogation room,Left at scene,Brain Surgeon; serial killer; son of Evelyn Vogel; killed Vogel and shot Debra,false,Brain Surgeon arc (finale); not on the table - code violated,https://dexter.fandom.com/wiki/Oliver_Saxon
k041,original,8,12,Remember the Monsters?,Debra Morgan,Mercy - life support removed,Hospital,Open water,Dexter's sister; not a target; permanent vegetative state from gunshot,false,Brain Surgeon arc (finale); not a code kill - act of mercy,https://dexter.fandom.com/wiki/Debra_Morgan
k042,new_blood,1,1,Cold Snap,Matt Caldwell,Hunting rifle,Iron Lake woods,Iron Lake burial,Privileged hunter; killed five in a 2018 boating accident he caused; got off,true,New Blood; rifle in lieu of usual ritual,https://dexter.fandom.com/wiki/Matt_Caldwell
k043,new_blood,1,5,Runaway,Jasper Hodge,Lethal injection M99 then exposure,Bus station bench,Left at scene,Drug dealer; sold the fentanyl that killed Iris,true,New Blood; ambiguous code compliance - prior crimes were dealing,false,https://dexter.fandom.com/wiki/Jasper_Hodge
k044,new_blood,1,10,Sins of the Father,Kurt Caldwell,Lethal injection M99 then shooting,Kurt's basement kill room,Iron Lake,Serial killer; murdered at least eight runaway women over decades,true,New Blood (finale),https://dexter.fandom.com/wiki/Kurt_Caldwell
k045,original_sin,1,1,Pilot,Aaron Spencer,Strangulation with garrote,Spencer's home,Open water,Pedophile teacher; abused multiple students,true,Origin kill under Harry's tutelage,https://dexter.fandom.com/wiki/Aaron_Spencer
k046,original_sin,1,3,Then We Fight Like a Family,Levi Reed,Knife to chest,Abandoned cabin,Open water,Teenage sociopath; murdered two classmates and his own father,true,Original Sin; first solo planning,https://dexter.fandom.com/wiki/Levi_Reed
k047,original_sin,1,5,Blood Drive,Nurse Mary,Lethal injection M99,Hospital supply closet,Open water,Angel of death nurse; murdered at least twelve elderly patients,true,Original Sin; first use of M99,https://dexter.fandom.com/wiki/Nurse_Mary
k048,original_sin,1,7,Pretty in Pink,Tony Ferrer,Knife to chest,Ferrer's car wash backroom,Open water,Drug dealer; murdered three witnesses and a teenage girl,true,Original Sin,https://dexter.fandom.com/wiki/Tony_Ferrer
k049,original_sin,1,10,Just Dexter,Tanya Martin,Knife to chest,Warehouse,Open water,Serial killer; the Tamiami Slasher; murdered five along the Tamiami Trail,true,Original Sin (finale),https://dexter.fandom.com/wiki/Tanya_Martin
